,Country Name,Country Code,Total_Pop,Pop_Over_65,Urban_Pop,Life_Expectancy,Pop_Desity,GNI_Per_Capita,Health_Coverage_last,Social_Coverage_last,Hospital_beds_per_1000_last,Physician_per_1000_last,Vulnerable_emp_last
86,Eswatini,SWZ,1136191.0,45613.0,270402.0,58.318999999999996,66.05761628,3930.0,,,2.1,0.0796,32.876000399999995
87,Ethiopia,ETH,109224559.0,3824097.0,22678295.0,65.872,109.22455900000001,790.0,,13.24794851,0.3,0.1,85.98099899
88,Euro area,EMU,341783171.0,70408316.0,263144784.0,81.95073042,127.5822777,38774.48621,,,6.1674908120000005,3.847757604,10.213018199999999
89,Europe & Central Asia,ECS,918793590.0,149843891.0,661885465.0,77.74469037,33.4968853,24328.65224,,,5.924921462,3.372925252,14.34139534
90,Europe & Central Asia (excluding high income),ECA,417797257.0,50109639.0,278468939.0,73.39917233,18.47737541,7804.1949,,,6.353655487999999,3.0452763710000004,18.83763207
91,Europe & Central Asia (IDA & IBRD countries),TEC,459865205.0,57598747.0,303606886.0,73.80835432,20.01725666,8379.285787,,,6.361948875,2.990480613,18.51357482
92,European Union,EUU,513213363.0,102306628.0,388326219.0,80.99115581,121.07819409999999,35419.81573,,,5.601456989,3.574249505,11.40958628
93,Faroe Islands,FRO,48497.0,,20400.0,82.4,34.73996983,,,,,,
94,Fiji,FJI,883483.0,48147.0,496942.0,67.252,48.35703339,5860.0,,,2.3,0.8374,43.28199959
95,Finland,FIN,5518050.0,1198564.0,4711421.0,81.42926829,18.15685565,48280.0,,,4.4,3.8080000000000003,9.225000232000001
96,Fragile and conflict affected situations,FCS,515215936.0,17713227.0,213083870.0,63.15109546,39.86931254,1576.182108,,,,0.39973798,68.90406028
97,French Polynesia,PYF,277679.0,23021.0,171700.0,77.251,75.86857923,,,,,,11.81599993
98,Gabon,GAB,2119275.0,75529.0,1893996.0,65.839,8.224764233,6830.0,,,6.3,0.3611,31.53200078
99,"Gambia, The",GMB,2280102.0,59054.0,1397018.0,61.44,225.30652169999996,710.0,1.75799959,8.30704046,1.1,0.1077,72.29600143
100,Georgia,GEO,3731000.0,554631.0,2187560.0,73.414,65.27520207,4440.0,,64.65342264,2.6,5.0976,49.24500084
101,Ghana,GHA,29767108.0,913522.0,16687441.0,63.463,130.8214292,2130.0,59.52041378,63.67291212,0.9,0.18,68.86299992
102,Gibraltar,GIB,33718.0,,33718.0,,3371.8,,,,,,
103,Greece,GRC,10727668.0,2323106.0,8481080.0,81.38780488,83.22473235,19770.0,,,4.3,4.592,26.66300058
104,Greenland,GRL,56025.0,,48639.0,71.24634146,0.136496528,,,,,,
105,Grenada,GRD,111454.0,10724.0,40427.0,72.388,327.8058824,9650.0,,,3.7,1.4471,
106,Guam,GUM,165768.0,16328.0,157115.0,79.631,306.9777778,,,,,,11.75700045
107,Guatemala,GTM,17247807.0,829977.0,8805695.0,73.81,160.9537794,4400.0,3.986681421,63.26831187,0.6,0.355,34.52200031
108,Guinea,GIN,12414318.0,363246.0,4486535.0,60.706,50.52221227,850.0,2.284316127,3.89322263,0.3,0.0788,89.94799995
109,Guinea-Bissau,GNB,1874309.0,52925.0,812700.0,57.673,66.65394737,750.0,,,,0.2,78.34399986
110,Guyana,GUY,779004.0,50248.0,207262.0,69.624,3.957348235,4770.0,,,1.6,0.799,56.82600117
111,Haiti,HTI,11123176.0,550531.0,6148669.0,63.29,403.5985486,800.0,0.370971426,19.46214024,0.7,0.2345,84.94000030000001
112,Heavily indebted poor countries (HIPC),HPC,780234406.0,23628692.0,280950435.0,62.7486826,44.89578165,925.8453097000001,,,,0.157673894,78.55911122
113,High income,HIC,1210312147.0,216888374.0,984376811.0,80.6937295,34.43776584,44275.22466,,,4.110599051,3.003544614,9.141995821
114,Honduras,HND,9587522.0,449714.0,5474092.0,74.898,85.68703191,2350.0,2.717433338,55.79375486,0.7,0.3144,40.54699993
115,"Hong Kong SAR, China",HKG,7451000.0,1257360.0,7451000.0,84.68048780000001,7096.190476000001,50300.0,,,,,5.883000076
116,Hungary,HUN,9768785.0,1871477.0,6970126.0,76.06341463,107.9066055,14780.0,,,7.0,3.2312,5.688999921000001
