,Country Name,Country Code,Total_Pop,Pop_Over_65,Urban_Pop,Life_Expectancy,Pop_Desity,GNI_Per_Capita,Health_Coverage_last,Social_Coverage_last,Hospital_beds_per_1000_last,Physician_per_1000_last,Vulnerable_emp_last,Lat,Long,Confirmed,Deaths,Recovered,Deaths_Rate,Day_Change
61,Czech Republic,CZE,10625695.0,2063603.0,7840913.0,79.47560976,137.60288789999998,20240.0,,,6.5,4.314,13.90999991,49.8175,15.473,8095.0,276.0,4447.0,0.03409090909090909,18.0
62,Denmark,DNK,5797446.0,1148645.0,5094448.0,81.00487805,138.0673017,60140.0,,,2.5,4.4567,5.109000057,63.287800000000004,-13.338100000000003,3505.6666666666665,175.33333333333334,2763.6666666666665,0.016989664082687338,33.666666666666664
63,Djibouti,DJI,958920.0,43416.0,745819.0,65.893,41.36842105,3190.0,8.50192379,20.94194148,1.4,0.2203,47.27200079,11.8251,42.5903,1189.0,3.0,834.0,0.0025210084033613447,54.0
64,Dominica,DMA,71625.0,,50483.0,,95.5,7090.0,,,3.8,1.0825,,15.415,-61.371,16.0,0.0,14.0,0.0,0.0
65,Dominican Republic,DOM,10627165.0,752703.0,8615868.0,73.689,219.9785759,7760.0,6.485660222999999,34.53420087,1.6,1.56,40.22500098,18.7357,-70.1627,9882.0,385.0,2584.0,0.03895578265708793,506.0
66,Ecuador,ECU,17084357.0,1222777.0,10903407.0,76.584,68.78868175,6110.0,10.93042144,72.57548089,1.5,2.05,46.12099934,-1.8312,-78.1834,29071.0,1717.0,3433.0,0.05906026417171161,253.0
67,"Egypt, Arab Rep.",EGY,98423595.0,5147337.0,42030812.0,71.656,98.87346929,2800.0,,,1.6,0.7902,21.33899975,26.0,30.0,8964.0,514.0,2002.0,0.05733407696597881,488.0
68,El Salvador,SLV,6420744.0,532093.0,4624412.0,72.872,309.8814672,3820.0,6.156111357,58.09289859,1.3,1.569,36.07399988,13.7942,-88.8965,784.0,17.0,276.0,0.02165605095541401,42.0
69,Equatorial Guinea,GNQ,1308974.0,32173.0,944333.0,58.06100000000001,46.66573975,6840.0,,,2.1,0.4,55.8010006,1.5,10.0,439.0,4.0,13.0,0.00909090909090909,0.0
70,Eritrea,ERI,3213972.0,131254.0,1149670.0,65.538,31.82150495,720.0,,,0.7,,78.19699859999999,15.1794,39.7823,39.0,0.0,37.0,0.0,0.0
71,Estonia,EST,1320884.0,259241.0,909825.0,77.64146341,30.38610536,21140.0,,,5.0,3.4651,5.504000082999999,58.5953,25.0136,1733.0,60.0,747.0,0.03460207612456748,8.0
72,Eswatini,SWZ,1136191.0,45613.0,270402.0,58.319,66.05761628,3930.0,,,2.1,0.0796,32.876000399999995,-26.5225,31.4659,163.0,2.0,14.0,0.012195121951219513,4.0
73,Ethiopia,ETH,109224559.0,3824097.0,22678295.0,65.872,109.224559,790.0,,13.24794851,0.3,0.1,85.98099899,9.145,40.4897,210.0,5.0,97.0,0.023696682464454975,16.0
74,Fiji,FJI,883483.0,48147.0,496942.0,67.252,48.35703339,5860.0,,,2.3,0.8374,43.28199959,-17.7134,178.065,18.0,0.0,14.0,0.0,0.0
75,Finland,FIN,5518050.0,1198564.0,4711421.0,81.42926829,18.15685565,48280.0,,,4.4,3.808,9.225000232000001,64.0,26.0,5880.0,265.0,4000.0,0.04506036388369325,142.0
76,Gabon,GAB,2119275.0,75529.0,1893996.0,65.839,8.224764233,6830.0,,,6.3,0.3611,31.53200078,-0.8037,11.6094,661.0,8.0,110.0,0.012084592145015106,41.0
77,"Gambia, The",GMB,2280102.0,59054.0,1397018.0,61.44,225.3065217,710.0,1.75799959,8.30704046,1.1,0.1077,72.29600143,13.4432,-15.3101,20.0,1.0,9.0,0.047619047619047616,0.0
78,Georgia,GEO,3731000.0,554631.0,2187560.0,73.414,65.27520207,4440.0,,64.65342264,2.6,5.0976,49.24500084,42.3154,43.3569,626.0,10.0,297.0,0.01594896331738437,3.0
79,Ghana,GHA,29767108.0,913522.0,16687441.0,63.463,130.8214292,2130.0,59.52041378,63.67291212,0.9,0.18,68.86299992,7.9465,-1.0232,4263.0,22.0,378.0,0.005159474671669793,251.0
80,Greece,GRC,10727668.0,2323106.0,8481080.0,81.38780488,83.22473235,19770.0,,,4.3,4.592,26.66300058,39.0742,21.8243,2710.0,151.0,1374.0,0.05569900405754334,19.0
81,Grenada,GRD,111454.0,10724.0,40427.0,72.388,327.8058824,9650.0,,,3.7,1.4471,,12.1165,-61.679,21.0,0.0,13.0,0.0,0.0
82,Guatemala,GTM,17247807.0,829977.0,8805695.0,73.81,160.9537794,4400.0,3.986681421,63.26831187,0.6,0.355,34.52200031,15.7835,-90.2308,967.0,24.0,104.0,0.024793388429752067,67.0
83,Guinea,GIN,12414318.0,363246.0,4486535.0,60.706,50.52221227,850.0,2.284316127,3.89322263,0.3,0.0788,89.94799995,9.9456,-9.6966,2042.0,11.0,698.0,0.0053842388644150755,33.0
84,Guinea-Bissau,GNB,1874309.0,52925.0,812700.0,57.673,66.65394737,750.0,,,,0.2,78.34399986,11.8037,-15.1804,641.0,3.0,25.0,0.004672897196261682,47.0
85,Guyana,GUY,779004.0,50248.0,207262.0,69.624,3.957348235,4770.0,,,1.6,0.799,56.82600117,5.0,-58.75,94.0,10.0,35.0,0.10526315789473684,0.0
86,Haiti,HTI,11123176.0,550531.0,6148669.0,63.29,403.5985486,800.0,0.370971426,19.46214024,0.7,0.2345,84.94000030000002,18.9712,-72.2852,151.0,12.0,17.0,0.07894736842105263,5.0
87,Honduras,HND,9587522.0,449714.0,5474092.0,74.898,85.68703191,2350.0,2.717433338,55.79375486,0.7,0.3144,40.54699993,15.2,-86.2419,1830.0,108.0,195.0,0.05898416166029492,59.0
88,Hungary,HUN,9768785.0,1871477.0,6970126.0,76.06341463,107.9066055,14780.0,,,7.0,3.2312,5.6889999210000015,47.1625,19.5033,3213.0,405.0,904.0,0.12601120099564406,35.0
89,Iceland,ISL,353574.0,52312.0,331698.0,82.20487805,3.526922693,67960.0,,,3.2,3.9701,7.939999834,64.9631,-19.0208,1801.0,10.0,1773.0,0.005549389567147614,0.0
90,Iran,IRN,81800269.0,5058998.0,61266765.0,76.271,50.22242012,5470.0,,,1.5,1.14,41.24199963,32.0,53.0,106220.0,6589.0,85064.0,0.06203104847440713,1529.0
91,Iraq,IRQ,38433600.0,1277379.0,27085311.0,70.294,88.53057004,5040.0,26.36446555,83.55954253,1.4,0.8217,25.85400033,33.0,44.0,2679.0,107.0,1702.0,0.03992537313432836,76.0
92,Ireland,IRL,4853506.0,672978.0,3065960.0,81.95609756,70.45298302,61390.0,,,2.8,3.0861,10.85500044,53.1424,-7.6921,22760.0,1446.0,17110.0,0.06352972189271122,219.0
93,Israel,ISR,8883800.0,1064011.0,8210230.0,82.60243902,410.5268022,40920.0,,,3.1,3.2176,8.228000283,31.0,35.0,16454.0,247.0,11376.0,0.015010635065329687,18.0
94,Jamaica,JAM,2934855.0,258169.0,1633951.0,74.267,270.9930748,4970.0,4.342288096,58.2561371,1.7,1.3199,35.72899872,18.1096,-77.2975,490.0,9.0,62.0,0.018329938900203666,0.0
95,Jordan,JOR,9956011.0,382957.0,9057879.0,74.292,112.1424983,4200.0,28.23461177,73.19309317,1.4,2.3436,8.58400017,31.24,36.51,522.0,9.0,387.0,0.017208413001912046,14.0
96,Kazakhstan,KAZ,18276499.0,1350971.0,10495828.0,72.95,6.769825907,8070.0,28.676963300000004,50.21454012,6.7,3.2522,25.84799954,48.0196,66.9237,4975.0,31.0,1776.0,0.006229903536977492,141.0
97,Kenya,KEN,51393010.0,1202178.0,13891531.0,65.90899999999999,90.29941666,1620.0,1.18825729,27.40089335,1.4,0.1988,53.49499893,-0.0236,37.9062,649.0,30.0,207.0,0.046153846153846156,28.0
98,Kuwait,KWT,4137309.0,105521.0,4137309.0,75.311,232.1722222,34290.0,,,2.0,2.5789,1.060999978,29.5,47.75,7623.0,49.0,2622.0,0.00642707240293809,415.0
99,Kyrgyz Republic,KGZ,6315800.0,283878.0,2295856.0,71.2,32.92909281,1220.0,39.34974755,57.86212525,4.5,1.876,33.86500072,41.2044,74.7661,931.0,12.0,658.0,0.012875536480686695,25.0
100,Lao PDR,LAO,7061507.0,287767.0,2471810.0,67.277,30.59578423,2450.0,,,1.5,0.4997,79.95300102,19.85627,102.495496,19.0,0.0,13.0,0.0,0.0
101,Latvia,LVA,1926542.0,386149.0,1312784.0,74.68048780000002,30.98330653,16510.0,,,5.8,3.1946,7.909000158,56.8796,24.6032,930.0,18.0,464.0,0.01933404940923738,2.0
102,Lebanon,LBN,6848925.0,479587.0,6067668.0,78.833,669.4941349,7920.0,,,2.9,2.271,27.58699918,33.8547,35.8623,809.0,26.0,234.0,0.03209876543209877,13.0
103,Liberia,LBR,4818977.0,156782.0,2464955.0,63.295,50.03090739,610.0,0.496428768,14.43706455,0.8,0.0373,77.70799923,6.4281,-9.4295,199.0,20.0,79.0,0.1,0.0
104,Libya,LBY,6678567.0,293325.0,5349666.0,72.52,3.795632381,6400.0,,,3.7,2.1581,5.711000025,26.3351,17.228331,64.0,3.0,24.0,0.046153846153846156,0.0
105,Liechtenstein,LIE,37910.0,,5436.0,82.25853659,236.9375,,,,,,,47.14,9.55,82.0,1.0,55.0,0.012048192771084338,0.0
106,Lithuania,LTU,2789533.0,549678.0,1887928.0,74.67073171,44.53135138,17430.0,,,7.3,4.337,9.517999709,55.1694,23.8813,1444.0,49.0,828.0,0.033910034602076124,8.0
107,Luxembourg,LUX,607728.0,86195.0,552917.0,82.68536585,250.0938272,70870.0,,,4.8,3.0266,6.2210000160000005,49.8153,6.1296,3877.0,101.0,3550.0,0.026044352759154205,6.0
108,Madagascar,MDG,26262368.0,784383.0,9767237.0,66.311,45.13985562,510.0,,5.699430879,0.2,0.1812,85.2480011,-18.7669,46.8691,193.0,0.0,101.0,0.0,0.0
109,Malawi,MWI,18143315.0,479970.0,3072933.0,63.279,192.4407616,360.0,0.566048355,41.52312278,1.3,0.0157,59.53000069,-13.254307999999998,34.301525,56.0,3.0,14.0,0.05263157894736842,13.0
110,Malaysia,MYS,31528585.0,2103510.0,23973075.0,75.828,95.96282149,10590.0,,,1.9,1.5132,21.79099989,2.5,112.5,6589.0,108.0,4929.0,0.01638846737481032,54.0
111,Maldives,MDV,515696.0,19098.0,205288.0,78.325,1718.986667,9280.0,,,,1.0379,19.34999919,3.2028,73.2207,790.0,3.0,29.0,0.0037926675094816687,46.0
112,Mali,MLI,19077690.0,478322.0,8080546.0,58.452,15.63501586,840.0,,,0.1,0.1393,89.62799835,17.570692,-3.996166000000001,692.0,37.0,298.0,0.05339105339105339,24.0
113,Malta,MLT,483530.0,98395.0,457477.0,82.45365854,1511.03125,26480.0,,,4.7,3.826,9.834999964,35.9375,14.3754,490.0,5.0,427.0,0.010183299389002037,1.0
114,Mauritania,MRT,4403319.0,138313.0,2363349.0,64.464,4.272163578,1160.0,,45.21555033,,0.179,52.81000137,21.0079,10.9408,8.0,1.0,6.0,0.1111111111111111,0.0
115,Mauritius,MUS,1265303.0,145183.0,516155.0,74.51463415,623.3019704,12050.0,18.79151166,46.62646318,3.4,2.0246,16.25899959,-20.2,57.5,332.0,10.0,320.0,0.03003003003003003,0.0
116,Moldova,MDA,3545883.0,406697.0,1511574.0,71.717,123.5198035,2980.0,43.89807655,56.59122874,5.8,3.2002,34.25500035,47.4116,28.3699,4867.0,161.0,1925.0,0.03307313064913722,139.0
117,Monaco,MCO,38682.0,,38682.0,,19196.0,,,,13.8,6.5617,,43.7333,7.4167,96.0,4.0,82.0,0.041237113402061855,1.0
118,Mongolia,MNG,3170208.0,129457.0,2169849.0,69.509,2.040608667,3660.0,43.27927886,99.89907534,7.0,2.8866,48.90499926,46.8625,103.8467,42.0,0.0,14.0,0.0,0.0
119,Montenegro,MNE,622345.0,93196.0,415807.0,76.667,46.27100372,8430.0,47.9325448,56.44447529,4.0,2.3337,13.26700044,42.5,19.3,324.0,8.0,274.0,0.024615384615384615,0.0
120,Morocco,MAR,36029138.0,2526689.0,22501278.0,76.218,80.72851893,3090.0,,,1.1,0.7273,48.81599998,31.7917,-7.0926,5910.0,186.0,2461.0,0.03146675689392658,199.0
121,Mozambique,MOZ,29495962.0,852659.0,10615007.0,59.309,37.50853531,460.0,3.808727213,6.3128615020000005,0.7,0.0735,83.08600235,-18.665695,35.529562,87.0,0.0,34.0,0.0,5.0
122,Myanmar,MMR,53708395.0,3106838.0,16423490.0,66.558,82.23861548,1310.0,,,0.9,0.8640000000000001,59.54499817,21.9162,95.956,178.0,6.0,68.0,0.0335195530726257,1.0
123,Namibia,NAM,2448255.0,89019.0,1224911.0,63.021,2.973745582,5220.0,,,,0.374,24.73599935,-22.9576,18.4904,16.0,0.0,10.0,0.0,0.0
124,Nepal,NPL,28087871.0,1608781.0,5544546.0,70.169,195.9391071,970.0,5.258961216,43.4853833,0.3,0.6507,79.38199997,28.1667,84.25,110.0,0.0,31.0,0.0,8.0
125,New Zealand,NZL,4885500.0,764699.0,4227814.0,81.65853659,18.55417569,40640.0,,,2.8,3.0252,12.34000021,-40.9006,174.886,1494.0,21.0,1371.0,0.014046822742474917,2.0
126,Nicaragua,NIC,6465513.0,339278.0,3783748.0,74.068,53.72704836,2030.0,13.70803917,68.15149333,0.9,1.0056,39.38899994,12.8654,-85.2072,16.0,5.0,7.0,0.29411764705882354,0.0
127,Niger,NER,22442948.0,582396.0,3686254.0,61.599,17.71765059,390.0,1.373099457,21.38065487,0.3,0.05,89.05999947,17.6078,8.0817,815.0,45.0,617.0,0.05514705882352941,20.0
128,Nigeria,NGA,195874740.0,5381418.0,98611179.0,53.95,215.06498900000003,1960.0,2.707068899,6.41370667,,0.3827,78.33800125,9.082,8.6753,4151.0,128.0,745.0,0.030828516377649325,239.0
129,North Macedonia,MKD,2082958.0,284744.0,1207345.0,75.589,82.59151467,5450.0,,,4.4,2.8736,19.10099983,41.6086,21.7453,1622.0,91.0,1112.0,0.056069008009858284,36.0
130,Norway,NOR,5314336.0,906053.0,4370935.0,82.5097561,14.55491954,80610.0,,,3.9,4.6336,4.731999978,60.472,8.4689,8099.0,219.0,32.0,0.027037037037037037,29.0
131,Oman,OMN,4829483.0,115559.0,4082797.0,77.393,15.6041454,15140.0,,,1.6,1.9697,2.556999967,21.0,57.0,3224.0,17.0,1068.0,0.005271317829457364,112.0
132,Pakistan,PAK,212215030.0,9152355.0,77810763.0,66.947,275.2893187,1590.0,6.008007702,16.79938871,0.6,0.9753,59.25,30.3753,69.3451,28736.0,636.0,7809.0,0.022131746528865227,2301.0
